Time;	Terminal_IsWork;	Terminal_PowerConsumption;	Terminal_Coordinate;	
316;0.000000;0.000000;10.000000_10.000000;
317;0.000000;0.000000;10.000000_10.000000;
318;0.000000;0.000000;10.000000_10.000000;
319;0.000000;0.000000;10.000000_10.000000;
320;0.000000;0.000000;10.000000_10.000000;
321;0.000000;0.000000;10.000000_10.000000;
322;0.000000;0.000000;10.000000_10.000000;
323;0.000000;0.000000;10.000000_10.000000;
324;0.000000;0.000000;10.000000_10.000000;
325;0.000000;0.000000;10.000000_10.000000;
326;0.000000;0.000000;10.000000_10.000000;
327;0.000000;0.000000;10.000000_10.000000;
328;0.000000;0.000000;10.000000_10.000000;
329;0.000000;0.000000;10.000000_10.000000;
330;0.000000;0.000000;10.000000_10.000000;
331;0.000000;0.000000;10.000000_10.000000;
332;0.000000;0.000000;10.000000_10.000000;
333;0.000000;0.000000;10.000000_10.000000;
334;0.000000;0.000000;10.000000_10.000000;
335;0.000000;0.000000;10.000000_10.000000;
336;0.000000;0.000000;10.000000_10.000000;
337;0.000000;0.000000;10.000000_10.000000;
338;0.000000;0.000000;10.000000_10.000000;
339;0.000000;0.000000;10.000000_10.000000;
340;0.000000;0.000000;10.000000_10.000000;
341;0.000000;0.000000;10.000000_10.000000;
342;0.000000;0.000000;10.000000_10.000000;
343;0.000000;0.000000;10.000000_10.000000;
344;0.000000;0.000000;10.000000_10.000000;
345;0.000000;0.000000;10.000000_10.000000;
346;0.000000;0.000000;10.000000_10.000000;
347;0.000000;0.000000;10.000000_10.000000;
348;0.000000;0.000000;10.000000_10.000000;
349;0.000000;0.000000;10.000000_10.000000;
350;0.000000;0.000000;10.000000_10.000000;
351;0.000000;0.000000;10.000000_10.000000;
352;0.000000;0.000000;10.000000_10.000000;
353;0.000000;0.000000;10.000000_10.000000;
354;0.000000;0.000000;10.000000_10.000000;
355;0.000000;0.000000;10.000000_10.000000;
356;0.000000;0.000000;10.000000_10.000000;
357;0.000000;0.000000;10.000000_10.000000;
358;0.000000;0.000000;10.000000_10.000000;
359;0.000000;0.000000;10.000000_10.000000;
360;0.000000;0.000000;10.000000_10.000000;
361;0.000000;0.000000;10.000000_10.000000;
362;0.000000;0.000000;10.000000_10.000000;
363;0.000000;0.000000;10.000000_10.000000;
364;0.000000;0.000000;10.000000_10.000000;
365;0.000000;0.000000;10.000000_10.000000;
366;0.000000;0.000000;10.000000_10.000000;
